SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
5,5,5,38,4,26,26,26,3,3,25,25,25,46,46,13,43,36,36,36,32,32,2,2,25,47,21,26,48,48,19,20,20,28,28,18,18,19,31,16,12,7,22,22,24,24,24,25,25,28,28,28,27,27,27,27,31,31,3,9,9,9,9,31,2,27,27,27,32,19,19,3,13,13,40,40,40,40,40,40,27,27,2,2,24,24,24,24,24,22,22,1,0,0,0,0,40,40,40,6
75.98285714285716,75.98285714285716,75.98285714285716,480.51619047619056,82.98285714285716,323.5028571428571,323.5028571428571,323.5028571428571,64.98285714285716,64.98285714285716,326.5028571428571,326.5028571428571,326.5028571428571,556.0228571428572,556.0228571428572,154.48952380952383,559.0228571428572,492.51619047619056,492.51619047619056,492.51619047619056,397.0095238095239,397.0095238095239,79.98285714285716,79.98285714285716,326.5028571428571,576.0228571428572,331.5028571428571,323.5028571428571,562.0228571428572,562.0228571428572,231.9961904761905,226.9961904761905,226.9961904761905,409.0095238095239,409.0095238095239,242.9961904761905,242.9961904761905,231.9961904761905,399.0095238095239,228.9961904761905,156.48952380952383,160.48952380952383,308.5028571428571,308.5028571428571,324.5028571428571,324.5028571428571,324.5028571428571,326.5028571428571,326.5028571428571,409.0095238095239,409.0095238095239,409.0095238095239,316.5028571428571,316.5028571428571,316.5028571428571,316.5028571428571,399.0095238095239,399.0095238095239,64.98285714285716,165.48952380952383,165.48952380952383,165.48952380952383,165.48952380952383,399.0095238095239,79.98285714285716,316.5028571428571,316.5028571428571,316.5028571428571,397.0095238095239,231.9961904761905,231.9961904761905,64.98285714285716,154.48952380952383,154.48952380952383,473.51619047619056,473.51619047619056,473.51619047619056,473.51619047619056,473.51619047619056,473.51619047619056,316.5028571428571,316.5028571428571,79.98285714285716,79.98285714285716,324.5028571428571,324.5028571428571,324.5028571428571,324.5028571428571,324.5028571428571,308.5028571428571,308.5028571428571,71.98285714285716,74.98285714285716,74.98285714285716,74.98285714285716,74.98285714285716,473.51619047619056,473.51619047619056,473.51619047619056,67.98285714285716
457.5733333333334,457.5733333333334,457.5733333333334,298.56000000000006,379.0666666666667,459.5733333333334,459.5733333333334,459.5733333333334,303.56000000000006,303.56000000000006,389.0666666666667,389.0666666666667,389.0666666666667,382.0666666666667,382.0666666666667,554.0799999999999,123.54666666666668,128.54666666666668,128.54666666666668,128.54666666666668,375.0666666666667,375.0666666666667,213.05333333333334,213.05333333333334,389.0666666666667,475.5733333333334,51.04000000000001,459.5733333333334,537.08,537.08,474.5733333333334,545.08,545.08,59.04000000000001,59.04000000000001,383.0666666666667,383.0666666666667,474.5733333333334,308.56000000000006,213.05333333333334,455.5733333333334,59.04000000000001,129.54666666666668,129.54666666666668,295.56000000000006,295.56000000000006,295.56000000000006,389.0666666666667,389.0666666666667,59.04000000000001,59.04000000000001,59.04000000000001,555.0799999999999,555.0799999999999,555.0799999999999,555.0799999999999,308.56000000000006,308.56000000000006,303.56000000000006,217.05333333333334,217.05333333333334,217.05333333333334,217.05333333333334,308.56000000000006,213.05333333333334,555.0799999999999,555.0799999999999,555.0799999999999,375.0666666666667,474.5733333333334,474.5733333333334,303.56000000000006,554.0799999999999,554.0799999999999,471.5733333333334,471.5733333333334,471.5733333333334,471.5733333333334,471.5733333333334,471.5733333333334,555.0799999999999,555.0799999999999,213.05333333333334,213.05333333333334,295.56000000000006,295.56000000000006,295.56000000000006,295.56000000000006,295.56000000000006,129.54666666666668,129.54666666666668,133.54666666666668,43.04000000000001,43.04000000000001,43.04000000000001,43.04000000000001,471.5733333333334,471.5733333333334,471.5733333333334,554.0799999999999
6,6,6,4,5,6,6,6,4,4,5,5,5,5,5,7,2,2,2,2,5,5,3,3,5,6,1,6,7,7,6,7,7,1,1,5,5,6,4,3,6,1,2,2,4,4,4,5,5,1,1,1,7,7,7,7,4,4,4,3,3,3,3,4,3,7,7,7,5,6,6,4,7,7,6,6,6,6,6,6,7,7,3,3,4,4,4,4,4,2,2,2,1,1,1,1,6,6,6,7
1,1,1,6,1,4,4,4,1,1,4,4,4,7,7,2,7,6,6,6,5,5,1,1,4,7,4,4,7,7,3,3,3,5,5,3,3,3,5,3,2,2,4,4,4,4,4,4,4,5,5,5,4,4,4,4,5,5,1,2,2,2,2,5,1,4,4,4,5,3,3,1,2,2,6,6,6,6,6,6,4,4,1,1,4,4,4,4,4,4,4,1,1,1,1,1,6,6,6,1
142.63748168945312,-1,-1,476.6374816894531,132.63748168945312,-1,-1,-1,71.63748168945312,-1,308.6374816894531,-1,-1,559.6374816894531,-1,216.63748168945312,-1,485.6374816894531,-1,-1,556.6374816894531,-1,60.637481689453125,-1,314.6374816894531,534.6374816894531,381.6374816894531,148.63748168945312,559.6374816894531,-1,-1,472.6374816894531,-1,416.6374816894531,-1,239.63748168945312,-1,-1,-1,333.6374816894531,122.63748168945312,164.63748168945312,377.6374816894531,-1,319.6374816894531,-1,-1,214.63748168945312,-1,404.6374816894531,-1,-1,325.6374816894531,-1,-1,-1,322.6374816894531,-1,141.63748168945312,300.6374816894531,-1,-1,-1,334.6374816894531,248.63748168945312,-1,-1,-1,-1,213.63748168945312,-1,176.63748168945312,-1,-1,302.6374816894531,-1,-1,-1,469.6374816894531,-1,326.6374816894531,-1,-1,-1,317.6374816894531,-1,-1,-1,-1,403.6374816894531,-1,83.63748168945312,217.63748168945312,-1,-1,-1,-1,-1,-1,135.63748168945312
223.875,-1,-1,229.875,286.875,-1,-1,-1,305.875,-1,461.875,-1,-1,303.875,-1,389.875,-1,119.875,-1,-1,521.875,-1,210.875,-1,137.875,380.875,117.875,142.875,397.875,-1,-1,234.875,-1,50.875,-1,317.875,-1,-1,-1,225.875,454.875,216.875,209.875,-1,248.875,-1,-1,318.875,-1,360.875,-1,-1,541.875,-1,-1,-1,284.875,-1,379.875,538.875,-1,-1,-1,225.875,225.875,-1,-1,-1,-1,551.875,-1,477.875,-1,-1,314.875,-1,-1,-1,479.875,-1,389.875,-1,-1,-1,369.875,-1,-1,-1,-1,225.875,-1,216.875,483.875,-1,-1,-1,-1,-1,-1,477.875
3,-1,-1,3,4,-1,-1,-1,4,-1,6,-1,-1,4,-1,5,-1,2,-1,-1,7,-1,3,-1,2,5,2,2,5,-1,-1,3,-1,1,-1,4,-1,-1,-1,3,6,3,3,-1,3,-1,-1,4,-1,5,-1,-1,7,-1,-1,-1,4,-1,5,7,-1,-1,-1,3,3,-1,-1,-1,-1,7,-1,6,-1,-1,4,-1,-1,-1,6,-1,5,-1,-1,-1,5,-1,-1,-1,-1,3,-1,3,6,-1,-1,-1,-1,-1,-1,6
2,-1,-1,6,2,-1,-1,-1,1,-1,4,-1,-1,7,-1,3,-1,6,-1,-1,7,-1,1,-1,4,7,5,2,7,-1,-1,6,-1,5,-1,3,-1,-1,-1,4,2,2,5,-1,4,-1,-1,3,-1,5,-1,-1,4,-1,-1,-1,4,-1,2,4,-1,-1,-1,4,3,-1,-1,-1,-1,3,-1,2,-1,-1,4,-1,-1,-1,6,-1,4,-1,-1,-1,4,-1,-1,-1,-1,5,-1,1,3,-1,-1,-1,-1,-1,-1,2
243.01800339938907,-1,-1,68.79443005688994,104.71334748560567,-1,-1,-1,7.0457968219469205,-1,74.96816019397075,-1,-1,78.27517005234785,-1,175.57235173467785,-1,11.068624004388116,-1,-1,216.8727084559686,-1,19.46763179085423,-1,251.4717489847081,103.34661889742858,83.54877499657397,361.7675135616396,139.22543604188752,-1,-1,395.68521070911777,-1,11.173762411022288,-1,65.2781305453204,-1,-1,-1,105.42388231748035,33.859244308511755,157.8894954693746,105.98225062391298,-1,46.937842976670666,-1,-1,132.06336469579855,-1,301.8666625801857,-1,-1,16.056568456780305,-1,-1,-1,79.96041547284423,-1,108.16612542464291,349.04749770658185,-1,-1,-1,104.78821036599574,169.14129453526235,-1,-1,-1,-1,79.45180839830309,-1,207.0083921188735,-1,-1,231.8488748863515,-1,-1,-1,9.163080884547393,-1,165.51556615527267,-1,-1,-1,74.63144514958955,-1,-1,-1,-1,135.38738711711503,-1,84.13941650280935,463.34203255212043,-1,-1,-1,-1,-1,-1,101.90363216068823
