round,blockName,Setsize,cueLength,test_ind,test_timeStamp,view_ind,view_timeStamp,1=OldItem,Response,1=correct,viewLoc_index,viewLoc_x,viewLoc_y,viewLoc_row,viewLoc_col,clickLoc_x,clickLoc_y,clickLoc_row,clickLoc_column,Euclidian_distance,imageTypeQuiz,TimeBarLoc_1st,TimeBarLoc_resp,TimeError_RespMinus1stAppear,RT,LapseTimeSinceExpStart,imageID,CanvasHeight,CanvasWidth,curID,curTime,userAgent,windowWidth,windowHeight,screenWidth,screenHeight,duration_ms,d_mTurkID
FIRSTROUNDFULL,Test,50,3000,22,1.65844E+12,4,1.65844E+12,1,SaidOld,1,29,583.4666667,200.7866667,2,5,472.78125,559.375,5,4,375.282366,[,8,17.34412894,9.344128941,81884,230434,13,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,23,1.65844E+12,0,-1,0,SaidOld,0,29,583.4666667,200.7866667,2,5,490.78125,478.375,4,4,292.6531552,[,-1,38.60524454,39.60524454,87616,235964,85,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,24,1.65844E+12,1,1.65844E+12,1,SaidOld,1,27,483.64,813.92,7,4,481.78125,778.375,7,4,35.59356651,[,2,51.70144503,49.70144503,91538,240554,82,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,25,1.65844E+12,0,-1,0,SaidNew,1,27,483.64,813.92,7,4,-1,-1,-1,-1,-1,[,-1,-1,-1,95394,242821,49,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,26,1.65844E+12,0,-1,0,SaidNew,1,27,483.64,813.92,7,4,-1,-1,-1,-1,-1,[,-1,-1,-1,96924,244351,72,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,27,1.65844E+12,29,1.65844E+12,1,SaidOld,1,31,612.4666667,450.44,4,5,724.78125,349.375,3,6,151.0916935,[,58,34.80572959,-23.19427041,99428,247715,71,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,28,1.65844E+12,33,1.65844E+12,1,SaidOld,1,44,835.12,331.6133333,3,7,728.78125,449.375,4,6,158.6686481,[,66,76.51955335,10.51955335,102734,251147,54,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,29,1.65844E+12,48,1.65844E+12,1,SaidOld,1,30,591.4666667,312.6133333,3,5,632.78125,426.375,4,5,121.0314488,[,96,57.1986156,-38.8013844,106051,254274,86,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,30,1.65844E+12,0,-1,0,SaidNew,1,30,591.4666667,312.6133333,3,5,-1,-1,-1,-1,-1,[,-1,-1,-1,110060,257488,94,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,31,1.65844E+12,14,1.65844E+12,1,SaidOld,1,41,719.2933333,822.92,7,6,718.78125,667.375,6,6,155.5458429,[,28,19.93103274,-8.068967259,111798,260197,100,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,32,1.65844E+12,0,-1,0,SaidNew,1,41,719.2933333,822.92,7,6,-1,-1,-1,-1,-1,[,-1,-1,-1,117577,265005,21,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,33,1.65844E+12,43,1.65844E+12,1,SaidOld,1,0,105.16,66.96,1,1,472.78125,822.375,7,4,840.1173761,[,86,25.99408852,-60.00591148,121500,269997,99,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,35,1.65844E+12,13,1.65844E+12,1,SaidOld,1,2,111.16,314.6133333,3,1,101.78125,441.375,4,1,127.1081472,[,26,31.81462207,5.81462207,130191,278585,61,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,34,1.65844E+12,19,1.65844E+12,1,SaidOld,1,27,483.64,813.92,7,4,577.78125,666.375,6,5,175.0202902,[,38,30.03612571,-7.963874293,127019,275254,41,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,36,1.65844E+12,35,1.65844E+12,1,SaidOld,1,10,222.9866667,432.44,4,2,233.78125,556.375,5,2,124.4042092,[,70,26.47913298,-43.52086702,133334,281679,67,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,37,1.65844E+12,18,1.65844E+12,1,SaidOld,1,22,481.64,185.7866667,2,4,247.78125,420.375,4,2,331.242511,[,36,47.82108933,11.82108933,136360,284484,45,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,38,1.65844E+12,15,1.65844E+12,1,SaidOld,1,31,612.4666667,450.44,4,5,727.78125,542.375,5,6,147.4771079,[,30,35.29077405,5.29077405,140206,288250,58,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,39,1.65844E+12,0,-1,0,SaidNew,1,31,612.4666667,450.44,4,5,-1,-1,-1,-1,-1,[,-1,-1,-1,143172,290599,78,987,987,,,,,,,,,
